  What is your gender?  ,What type of institution did you attend prior to university  ,  What type of Institution are you currently enrolled in?  ,  What is your field of study?  ,Current University Admission Criteria ,What is the approximate cost of your semester fee? (An estimate is fine.) ,How much financial difficulty do you experience in paying your university fees?  ,Does your university offer financial aid or scholarships?  ,What is your CGPA,How would you rate the level of academic stress you experience in your university?  ,How would you rate your professors' support and approachability?  ,"How frequently do professors use technology (e.g., online resources, learning management systems, multimedia tools) in their teaching?  ",Have you had the opportunity to engage in interdisciplinary courses or projects at your university?  ,"How often do you participate in extracurricular activities (clubs, sports, student organizations, cultural events) at your university?  ",How satisfied are you with the career counseling services provided at your university?  ,"What are your post-graduation plans?
",How long does it typically take you to commute to university?  ,What are the challenges you face in your studies? (Check all that apply),Would you suggest the institution you are studying at to your sibling?,Column 20,Column 21,Column 22
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",Below 50k,Easy (Manage to pay without much difficulty),"Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,Moderate stress,"Neutral (Supportive at times, less approachable)",Very frequently (Almost every class),"Yes, occasionally",Never,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,Academic workload,"Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","No, my university does not offer financial aid or scholarships.",2.6 - 3.0,Very high stress,Not supportive or approachable at all,Very frequently (Almost every class),"No, but I would like to",Never,Very satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,Financial constraints,"No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",150k - 200k,"Very difficult (Struggling to cover fees, require loans or assistance)",Not sure,3.6 - 4.0,Moderate stress,Very supportive and approachable,Frequently (Most classes),"No, but I would like to",Rarely,Neutral,Starting a business,60– 90 minutes,"Academic workload, Financial constraints","Yes, definitely",,,
Male,Public School (Government-funded),Private,"Business and Management (e.g., Marketing, Finance, HR)",CCA,50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)","Yes, but I do not qualify for financial aid or a scholarship.",2.6 - 3.0,Very high stress,Supportive but not very approachable,Very frequently (Almost every class),"Yes, occasionally",Never,Very dissatisfied,Starting a business,More than 90 minutes,Paisa cheay hum KO ,"No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams), Extracurricular achievements (e.g., sports, arts, leadership roles)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,"Neutral (Supportive at times, less approachable)",Rarely (Seldom used),"No, but I would like to",Occasionally,Satisfied,Seeking employment,More than 90 minutes,Academic workload,"Yes, with some reservations",,,
Female,Public School (Government-funded),Private,"Business and Management (e.g., Marketing, Finance, HR)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",Above 200k,"Difficult (Often face financial stress, but manage with some support)","Yes, I am currently receiving financial aid or a scholarship.",2.6 - 3.0,High stress,Supportive but not very approachable,Frequently (Most classes),"Yes, frequently",Very frequently,Very satisfied,Seeking employment,15–30 minutes,"Academic workload, Support from peers and faculty","Yes, definitely",,,
Female,Public School (Government-funded),Private,"Business and Management (e.g., Marketing, Finance, HR)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",3.6 - 4.0,Low stress,Not very supportive or approachable,Occasionally (Some classes),"No, but I would like to",Occasionally,Neutral,Starting a business,60– 90 minutes,"Availability of resources (e.g., library, online materials)","No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Public (Government-funded),"Sciences (e.g., Physics, Chemistry, Biology)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,Easy (Manage to pay without much difficulty),"Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Moderate stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"Yes, occasionally",Frequently,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,Academic workload,"Yes, definitely",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Very difficult (Struggling to cover fees, require loans or assistance)",Not sure,3.1 - 3.5,Moderate stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"Yes, frequently",Frequently,Very dissatisfied,Seeking employment,15–30 minutes,"Academic workload, Financial constraints, Family responsibilities","No, I wouldn't suggest it",,,
Male,Private School,Private,"Social Sciences (e.g., Sociology, Psychology, Political Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",100k - 150k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",2.6 - 3.0,Moderate stress,Supportive but not very approachable,Very frequently (Almost every class),"No, I have not had the opportunity",Frequently,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",60– 90 minutes,Family responsibilities,"Yes, definitely",,,
Female,Private School,Public (Government-funded),"Arts and Humanities (e.g., Literature, History, Fine Arts)",Recommendations or referrals,150k - 200k,Very easy (I do not face any financial difficulty in paying my fees),"Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,No stress at all,Not very supportive or approachable,Frequently (Most classes),"Yes, frequently",Very frequently,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",60– 90 minutes,Support from peers and faculty,"Yes, with some reservations",,,
Male,Private School,Private,"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",2.6 - 3.0,High stress,"Neutral (Supportive at times, less approachable)",Occasionally (Some classes),"Yes, occasionally",Occasionally,Neutral,Starting a business,31–60 minutes,Academic workload,"Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",Below 50k,"Difficult (Often face financial stress, but manage with some support)","Yes, I am currently receiving financial aid or a scholarship.",3.6 - 4.0,High stress,Supportive but not very approachable,Rarely (Seldom used),"Yes, occasionally",Rarely,Very dissatisfied,Starting a business,31–60 minutes,"Academic workload, Financial constraints, Availability of resources (e.g., library, online materials)","No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Very high stress,Supportive but not very approachable,Very frequently (Almost every class),"No, but I would like to",Never,Neutral,Seeking employment,31–60 minutes,Academic workload,"Yes, with some reservations",,,
Male,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",3.6 - 4.0,High stress,Supportive but not very approachable,Very frequently (Almost every class),"No, but I would like to",Occasionally,Satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,Academic workload,"Yes, with some reservations",,,
Female,Public School (Government-funded),Public (Government-funded),BBIT ( Business and Information technology),"Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,Very easy (I do not face any financial difficulty in paying my fees),"Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Low stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"Yes, frequently",Frequently,Dissatisfied,Further education and starting a business ,31–60 minutes,"Academic workload, Support from peers and faculty, the fear of failing after the degree is done ","Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Very high stress,Not very supportive or approachable,Frequently (Most classes),"Yes, occasionally",Rarely,Dissatisfied,Seeking employment,60– 90 minutes,Support from peers and faculty,"Yes, with some reservations",,,
